subject,used,n_pos_edges,mean_w,max_w,note
HCD2240030,True,11296.0,0.026036238055283042,0.9928510785102844,
HCD1363546,True,8321.0,0.027424547225156103,0.8773157596588135,
HCD2239247,False,,,,no_file_or_bad_shape
HCD0147333,True,13748.0,0.019961336706468897,1.0136706829071045,
HCD0933051,True,11742.0,0.021693291345714863,0.8686842918395996,
HCD2068145,True,9658.0,0.028676337489231766,0.8938018679618835,
HCD2449763,True,9340.0,0.0264309660806271,0.8859044909477234,
HCD0997380,True,9955.0,0.018284969619370765,1.0474886894226074,
HCD2300426,True,12800.0,0.02147185153701983,0.9392729997634888,
HCD1791163,True,9266.0,0.024202439990338845,0.8510863780975342,
HCD0802440,True,9921.0,0.016816343942100197,0.9147487282752991,
HCD0247438,True,11277.0,0.018088579435235157,0.9147325754165649,
HCD1445245,True,11199.0,0.022450498852271097,0.8670333623886108,
HCD0714443,True,10397.0,0.016566957685312765,0.837118923664093,
HCD2600034,True,11554.0,0.01881323814988059,0.8492374420166016,
HCD1983879,True,7293.0,0.03654688646960006,0.9974266886711121,
HCD2046943,False,,,,no_file_or_bad_shape
HCD0977576,True,10124.0,0.019613239889250417,0.9251492619514465,
HCD0277447,False,,,,no_file_or_bad_shape
HCD0425335,True,10447.0,0.029961811765775732,1.0048959255218506,
HCD1181843,True,13096.0,0.020587664252180424,0.8743406534194946,
HCD1857066,False,,,,no_file_or_bad_shape
HCD0822850,True,9136.0,0.02887602076229219,1.1231122016906738,
HCD2655766,True,9618.0,0.021964582221848158,0.891433596611023,
HCD2797584,True,10221.0,0.024306850870132644,1.0207123756408691,
HCD0519849,True,12179.0,0.027601706996731878,1.2638405561447144,
HCD2304737,True,8412.0,0.02537572115040646,0.913862407207489,
HCD0858467,True,10373.0,0.025228073263734996,1.0386083126068115,
HCD2711649,True,9110.0,0.023534472101560556,1.0246739387512207,
HCD0267747,True,9537.0,0.020893517811267096,0.8743297457695007,
HCD2633554,True,11062.0,0.01392343783612197,0.9459242224693298,
HCD2751560,True,10250.0,0.026142819379207437,1.0029085874557495,
HCD2428755,False,,,,no_file_or_bad_shape
HCD0621638,True,8999.0,0.023656059966889312,0.86403489112854,
HCD2216437,True,10660.0,0.026791342104748973,0.966968834400177,
